pid,r_mean,r_median,r_q025,r_q975,lambda_mean,lambda_median,nA,nB,switch_row,inconsistent
4bwhtil0,0.790371706366955,0.772339441267695,0.663124821981032,0.989396300294286,34.9709641478109,30.1870633705997,7,3,8,FALSE
98r4dh1u,1.61010487329951,1.60118601889594,1.16807497255983,2.11640688251726,3.33909745613264,3.21705325667664,7,3,1,TRUE
gih6nd5f,0.537775119045597,0.535044371026003,0.411896416166165,0.676237177372812,33.6041437187408,29.7993470753058,6,4,7,FALSE
iiw1neqh,1.51413389624242,1.51456910250379,1.06654028688739,1.99826040139137,3.33512837513148,3.14674435672515,6,4,3,TRUE
kuln1ae8,0.527004109230667,0.520841314128552,0.410097693757772,0.674610683103865,33.9396364733892,30.4045982441404,6,4,7,FALSE
l03efj31,-0.600478692113638,-0.570597098142853,-0.855669270035408,-0.490565447878183,34.6611586181211,30.8084892440692,2,8,3,FALSE
l7mooatv,0.535363257864282,0.532080588700332,0.414461307205539,0.677338916915356,34.8026110964103,30.3134212148828,6,4,7,FALSE
oyd53vb3,0.0171781009698121,0.022675012453146,-0.131194163580607,0.139503089652919,33.2872704733414,29.4130193071328,4,6,5,FALSE
s3l5cnfu,1.40093161380905,1.39258213541621,0.94036837064586,1.9678954552553,3.32235795350803,3.16372374566844,5,5,2,TRUE
y2byltnd,1.01334774076195,0.990525502270672,0.557016391786129,1.62138517003634,3.80787442345172,3.63292001733832,5,5,4,TRUE
